ticker,company,fiscal_year,period_end,depreciation_amort_usd,ppe_gross_usd,ppe_net_usd,retrieved
META,Meta Platforms,2017,2017-12-31,3025000000.0,18337000000.0,13721000000.0,2026-05-29
META,Meta Platforms,2018,2018-12-31,4315000000.0,31573000000.0,24683000000.0,2026-05-29
META,Meta Platforms,2019,2019-12-31,5741000000.0,,,2026-05-29
META,Meta Platforms,2020,2020-12-31,6862000000.0,,,2026-05-29
META,Meta Platforms,2021,2021-12-31,7967000000.0,,,2026-05-29
META,Meta Platforms,2022,2022-12-31,8686000000.0,,,2026-05-29
META,Meta Platforms,2023,2023-12-31,11178000000.0,,,2026-05-29
META,Meta Platforms,2024,2024-12-31,15498000000.0,,,2026-05-29
META,Meta Platforms,2025,2025-12-31,18616000000.0,,,2026-05-29
MSFT,Microsoft,2008,2008-06-30,1400000000.0,,,2026-05-29
MSFT,Microsoft,2009,2009-06-30,1700000000.0,15082000000.0,7535000000.0,2026-05-29
MSFT,Microsoft,2010,2010-06-30,1800000000.0,16259000000.0,7630000000.0,2026-05-29
MSFT,Microsoft,2011,2011-06-30,2000000000.0,17991000000.0,8162000000.0,2026-05-29
MSFT,Microsoft,2012,2012-06-30,2200000000.0,19231000000.0,8269000000.0,2026-05-29
MSFT,Microsoft,2013,2013-06-30,2600000000.0,22504000000.0,9991000000.0,2026-05-29
MSFT,Microsoft,2014,2014-06-30,3400000000.0,27804000000.0,13011000000.0,2026-05-29
MSFT,Microsoft,2015,2015-06-30,4100000000.0,32337000000.0,14731000000.0,2026-05-29
MSFT,Microsoft,2016,2016-06-30,4900000000.0,38156000000.0,18356000000.0,2026-05-29
MSFT,Microsoft,2017,2017-06-30,6100000000.0,47913000000.0,23734000000.0,2026-05-29
MSFT,Microsoft,2018,2018-06-30,7700000000.0,58683000000.0,29460000000.0,2026-05-29
MSFT,Microsoft,2019,2019-06-30,9700000000.0,71807000000.0,36477000000.0,2026-05-29
MSFT,Microsoft,2020,2020-06-30,10700000000.0,87348000000.0,44151000000.0,2026-05-29
MSFT,Microsoft,2021,2021-06-30,9300000000.0,111066000000.0,59715000000.0,2026-05-29
MSFT,Microsoft,2022,2022-06-30,12600000000.0,134058000000.0,74398000000.0,2026-05-29
MSFT,Microsoft,2023,2023-06-30,11000000000.0,163892000000.0,95641000000.0,2026-05-29
MSFT,Microsoft,2024,2024-06-30,15200000000.0,212012000000.0,135591000000.0,2026-05-29
MSFT,Microsoft,2025,2025-06-30,22000000000.0,298619000000.0,204966000000.0,2026-05-29
NVDA,NVIDIA,2009,2009-01-25,,,625798000.0,2026-05-29
NVDA,NVIDIA,2010,2010-01-31,,1088483000.0,571858000.0,2026-05-29
NVDA,NVIDIA,2011,2011-01-30,,1193939000.0,568857000.0,2026-05-29
NVDA,NVIDIA,2012,2012-01-29,,1156528000.0,560072000.0,2026-05-29
NVDA,NVIDIA,2013,2013-01-27,,1288782000.0,576144000.0,2026-05-29
NVDA,NVIDIA,2014,2014-01-26,,1282820000.0,582740000.0,2026-05-29
NVDA,NVIDIA,2015,2015-01-25,,1179000000.0,557000000.0,2026-05-29
NVDA,NVIDIA,2016,2016-01-31,,1100000000.0,466000000.0,2026-05-29
NVDA,NVIDIA,2017,2017-01-29,,1191000000.0,521000000.0,2026-05-29
