ticker,company,fiscal_year,period_end,long_term_debt_usd,debt_issuance_usd,interest_expense_usd,operating_cash_flow_usd,retrieved
MSFT,Microsoft,2021,2021-06-30,50074000000.0,,2346000000.0,76740000000.0,2026-05-29
MSFT,Microsoft,2022,2022-06-30,47032000000.0,,2063000000.0,89035000000.0,2026-05-29
MSFT,Microsoft,2023,2023-06-30,41990000000.0,,1968000000.0,87582000000.0,2026-05-29
MSFT,Microsoft,2024,2024-06-30,42688000000.0,,2935000000.0,118548000000.0,2026-05-29
MSFT,Microsoft,2025,2025-06-30,40152000000.0,,,136162000000.0,2026-05-29
NVDA,NVIDIA,2008,2008-01-27,,,54000.0,1270196000.0,2026-05-29
NVDA,NVIDIA,2009,2009-01-25,,,406000.0,249360000.0,2026-05-29
NVDA,NVIDIA,2010,2010-01-31,,,3320000.0,487807000.0,2026-05-29
NVDA,NVIDIA,2011,2011-01-30,,,3127000.0,675797000.0,2026-05-29
NVDA,NVIDIA,2012,2012-01-29,,,3089000.0,909156000.0,2026-05-29
NVDA,NVIDIA,2013,2013-01-27,,,3294000.0,824172000.0,2026-05-29
NVDA,NVIDIA,2014,2014-01-26,,,10000000.0,835000000.0,2026-05-29
NVDA,NVIDIA,2015,2015-01-25,,,46000000.0,906000000.0,2026-05-29
NVDA,NVIDIA,2016,2016-01-31,,,47000000.0,1175000000.0,2026-05-29
NVDA,NVIDIA,2017,2017-01-29,,1980000000.0,58000000.0,1672000000.0,2026-05-29
NVDA,NVIDIA,2018,2018-01-28,,1980000000.0,61000000.0,3502000000.0,2026-05-29
NVDA,NVIDIA,2019,2019-01-27,,1980000000.0,58000000.0,3743000000.0,2026-05-29
NVDA,NVIDIA,2020,2020-01-26,1991000000.0,1980000000.0,52000000.0,4761000000.0,2026-05-29
NVDA,NVIDIA,2021,2021-01-31,5964000000.0,,184000000.0,5822000000.0,2026-05-29
NVDA,NVIDIA,2022,2022-01-30,10946000000.0,,236000000.0,9108000000.0,2026-05-29
NVDA,NVIDIA,2023,2023-01-29,9703000000.0,,262000000.0,5641000000.0,2026-05-29
NVDA,NVIDIA,2024,2024-01-28,8459000000.0,,257000000.0,28090000000.0,2026-05-29
NVDA,NVIDIA,2025,2025-01-26,8463000000.0,,,64089000000.0,2026-05-29
NVDA,NVIDIA,2026,2026-01-25,7469000000.0,,,102718000000.0,2026-05-29
ORCL,Oracle,2008,2008-05-31,,,-394000000.0,7402000000.0,2026-05-29
ORCL,Oracle,2009,2009-05-31,,,630000000.0,8255000000.0,2026-05-29
ORCL,Oracle,2010,2010-05-31,,,754000000.0,8681000000.0,2026-05-29
ORCL,Oracle,2011,2011-05-31,,,808000000.0,11214000000.0,2026-05-29
ORCL,Oracle,2012,2012-05-31,,,766000000.0,13743000000.0,2026-05-29
ORCL,Oracle,2013,2013-05-31,,,797000000.0,14224000000.0,2026-05-29
ORCL,Oracle,2014,2014-05-31,,,914000000.0,,2026-05-29
ORCL,Oracle,2015,2015-05-31,42162000000.0,,1143000000.0,,2026-05-29
ORCL,Oracle,2016,2016-05-31,43980000000.0,,1467000000.0,13685000000.0,2026-05-29
ORCL,Oracle,2017,2017-05-31,58145000000.0,,1798000000.0,14126000000.0,2026-05-29
ORCL,Oracle,2018,2018-05-31,60927000000.0,,2025000000.0,15386000000.0,2026-05-29
ORCL,Oracle,2019,2019-05-31,56342000000.0,,2082000000.0,14551000000.0,2026-05-29
ORCL,Oracle,2020,2020-05-31,71807000000.0,,1995000000.0,13139000000.0,2026-05-29
ORCL,Oracle,2021,2021-05-31,84529000000.0,14934000000.0,2496000000.0,15887000000.0,2026-05-29
ORCL,Oracle,2022,2022-05-31,76166000000.0,0.0,2755000000.0,9539000000.0,2026-05-29
ORCL,Oracle,2023,2023-05-31,90856000000.0,33494000000.0,3505000000.0,17165000000.0,2026-05-29
ORCL,Oracle,2024,2024-05-31,87202000000.0,0.0,3514000000.0,18673000000.0,2026-05-29
ORCL,Oracle,2025,2025-05-31,92917000000.0,19548000000.0,3578000000.0,20821000000.0,2026-05-29
