series_id,label,group,title,units,frequency,date,value,retrieved
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1973-10-19,2.28,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1973-10-26,2.229,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1973-11-02,2.184,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1973-11-09,2.151,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1973-11-16,2.128,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1973-11-23,2.11,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1973-11-30,2.088,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1973-12-07,2.05,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1973-12-14,1.986,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1973-12-21,1.891,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1973-12-28,1.763,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1974-01-04,1.602,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1974-01-11,1.42,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1974-01-18,1.225,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1974-01-25,1.03,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1974-02-01,0.847,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1974-02-08,0.687,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1974-02-15,0.562,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1974-02-22,0.478,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1974-03-01,0.441,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1974-03-08,0.456,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1974-03-15,0.523,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1974-03-22,0.643,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1974-03-29,0.813,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1974-04-05,1.028,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1974-04-12,1.285,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1974-04-19,1.576,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1974-04-26,1.896,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1974-05-03,2.238,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1974-05-10,2.596,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1974-05-17,2.963,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1974-05-24,3.329,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1974-05-31,3.687,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1974-06-07,4.03,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1974-06-14,4.346,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1974-06-21,4.626,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1974-06-28,4.861,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1974-07-05,5.039,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1974-07-12,5.154,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1974-07-19,5.206,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1974-07-26,5.199,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1974-08-02,5.143,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1974-08-09,5.047,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1974-08-16,4.925,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1974-08-23,4.785,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1974-08-30,4.635,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1974-09-06,4.481,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1974-09-13,4.324,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1974-09-20,4.163,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1974-09-27,3.996,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1974-10-04,3.822,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1974-10-11,3.641,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1974-10-18,3.46,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1974-10-25,3.288,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1974-11-01,3.133,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1974-11-08,3.0,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1974-11-15,2.892,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1974-11-22,2.806,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1974-11-29,2.736,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1974-12-06,2.674,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1974-12-13,2.61,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1974-12-20,2.538,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1974-12-27,2.448,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1975-01-03,2.339,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1975-01-10,2.208,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1975-01-17,2.06,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1975-01-24,1.901,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1975-01-31,1.736,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1975-02-07,1.573,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1975-02-14,1.416,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1975-02-21,1.269,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1975-02-28,1.133,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1975-03-07,1.007,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1975-03-14,0.891,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1975-03-21,0.783,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1975-03-28,0.681,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1975-04-04,0.582,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1975-04-11,0.485,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1975-04-18,0.39,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1975-04-25,0.296,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1975-05-02,0.206,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1975-05-09,0.122,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1975-05-16,0.045,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1975-05-23,-0.021,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1975-05-30,-0.076,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1975-06-06,-0.117,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1975-06-13,-0.146,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1975-06-20,-0.164,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1975-06-27,-0.172,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1975-07-04,-0.173,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1975-07-11,-0.17,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1975-07-18,-0.164,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1975-07-25,-0.157,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1975-08-01,-0.147,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1975-08-08,-0.134,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1975-08-15,-0.118,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1975-08-22,-0.097,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1975-08-29,-0.071,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1975-09-05,-0.042,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1975-09-12,-0.009,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1975-09-19,0.026,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1975-09-26,0.06,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1975-10-03,0.091,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1975-10-10,0.118,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1975-10-17,0.137,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1975-10-24,0.149,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1975-10-31,0.153,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1975-11-07,0.146,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1975-11-14,0.129,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1975-11-21,0.101,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1975-11-28,0.062,2026-05-29
NFCI,nfci,conditions,Chicago Fed National Financial Conditions Index,Index,W,1975-12-05,0.012,2026-05-29
